titulo,ordem,ano_estreia,ano_encerramento,episodios,classificacao_indicativa,nota_imdb,link,popularidade,id
Maravilhosa Sra. Maisel,121,2017,2023.0,43,16,8.7,https://www.imdb.com/pt/title/tt5788792/?ref_=chttvtp_i_121,310.0,121
How to with John Wilson,122,2020,2023.0,18,0,8.7,https://www.imdb.com/pt/title/tt10801534/?ref_=chttvtp_i_122,2.391,122
Stranger Things,123,2016,2025.0,42,14,8.6,https://www.imdb.com/pt/title/tt4574334/?ref_=chttvtp_i_123,26.0,123
The Boys,124,2019,,40,16,8.6,https://www.imdb.com/pt/title/tt1190634/?ref_=chttvtp_i_124,36.0,124
The Thick of It,125,2005,2012.0,24,0,8.7,https://www.imdb.com/pt/title/tt0459159/?ref_=chttvtp_i_125,1.331,125
This Is Us: Histórias de Família,126,2016,2022.0,6,14,8.7,https://www.imdb.com/pt/title/tt5555260/?ref_=chttvtp_i_126,342.0,126
Aspirants,127,2021,,10,0,9.1,https://www.imdb.com/pt/title/tt14392248/?ref_=chttvtp_i_127,1.573,127
Ramayan,128,1987,1988.0,78,14,9.0,https://www.imdb.com/pt/title/tt0268093/?ref_=chttvtp_i_128,3.515,128
Code Geass: Lelouch of the Rebellion,129,2006,2008.0,54,18,8.7,https://www.imdb.com/pt/title/tt0994314/?ref_=chttvtp_i_129,637.0,129
Father Ted,130,1995,1998.0,25,14,8.6,https://www.imdb.com/pt/title/tt0111958/?ref_=chttvtp_i_130,1.65,130
1883,131,2021,2022.0,10,16,8.7,https://www.imdb.com/pt/title/tt13991232/?ref_=chttvtp_i_131,104.0,131
Behzat Ç.,132,2010,2019.0,5,14,8.8,https://www.imdb.com/pt/title/tt1795096/?ref_=chttvtp_i_132,2.105,132
Hora de Aventura,133,2010,2018.0,89,10,8.6,https://www.imdb.com/pt/title/tt1305826/?ref_=chttvtp_i_133,452.0,133
Dexter,134,2006,2013.0,96,18,8.6,https://www.imdb.com/pt/title/tt0773262/?ref_=chttvtp_i_134,23.0,134
Parks and Recreation,135,2009,2015.0,24,0,8.6,https://www.imdb.com/pt/title/tt1266020/?ref_=chttvtp_i_135,156.0,135
Arquivo X,136,1993,2018.0,17,16,8.6,https://www.imdb.com/pt/title/tt0106179/?ref_=chttvtp_i_136,134.0,136
Sarabhai V/S Sarabhai,137,2004,2017.0,79,0,8.9,https://www.imdb.com/pt/title/tt1518542/?ref_=chttvtp_i_137,4.241,137
Mr Inbetween,138,2018,2021.0,26,18,8.7,https://www.imdb.com/pt/title/tt7472896/?ref_=chttvtp_i_138,464.0,138
Atlanta,139,2016,2022.0,41,16,8.6,https://www.imdb.com/pt/title/tt4288182/?ref_=chttvtp_i_139,417.0,139
Hajime no Ippo,140,2000,2002.0,76,12,8.8,https://www.imdb.com/pt/title/tt0481256/?ref_=chttvtp_i_140,1.42,140
Deadwood: Cidade sem Lei,141,2004,2006.0,36,16,8.6,https://www.imdb.com/pt/title/tt0348914/?ref_=chttvtp_i_141,385.0,141
The Mandalorian,142,2019,,25,12,8.6,https://www.imdb.com/pt/title/tt8111088/?ref_=chttvtp_i_142,133.0,142
House of Cards,143,2013,2018.0,73,16,8.6,https://www.imdb.com/pt/title/tt1856010/?ref_=chttvtp_i_143,275.0,143
The Crown,144,2016,2023.0,60,12,8.6,https://www.imdb.com/pt/title/tt4786824/?ref_=chttvtp_i_144,170.0,144
Demolidor,145,2015,2018.0,39,18,8.6,https://www.imdb.com/pt/title/tt3322312/?ref_=chttvtp_i_145,305.0,145
It's a Sin,146,2021,,15,16,8.6,https://www.imdb.com/pt/title/tt9140342/?ref_=chttvtp_i_146,1.764,146
The Bridge,147,2011,2018.0,38,14,8.6,https://www.imdb.com/pt/title/tt1733785/?ref_=chttvtp_i_147,608.0,147
Poirot,148,1989,2013.0,70,14,8.6,https://www.imdb.com/pt/title/tt0094525/?ref_=chttvtp_i_148,349.0,148
Primal,149,2019,,21,16,8.6,https://www.imdb.com/pt/title/tt10332508/?ref_=chttvtp_i_149,1.067,149
Mindhunter,150,2017,2019.0,19,16,8.6,https://www.imdb.com/pt/title/tt5290382/?ref_=chttvtp_i_150,168.0,150
Blackadder II,151,1986,,66,0,8.6,https://www.imdb.com/pt/title/tt0088484/?ref_=chttvtp_i_151,2.286,151
Os Pistoleiros do Oeste,152,1989,,94,14,8.7,https://www.imdb.com/pt/title/tt0096639/?ref_=chttvtp_i_152,866.0,152
Mr. Bean,153,1990,1995.0,15,10,8.6,https://www.imdb.com/pt/title/tt0096657/?ref_=chttvtp_i_153,1.25,153
Xógum: A Gloriosa Saga do Japão,154,2024,2026.0,12,16,8.6,https://www.imdb.com/pt/title/tt2788316/?ref_=chttvtp_i_154,210.0,154
Haikyu!!,155,2014,2020.0,89,10,8.7,https://www.imdb.com/pt/title/tt3398540/?ref_=chttvtp_i_155,959.0,155
The Offer,156,2022,,10,18,8.6,https://www.imdb.com/pt/title/tt13111040/?ref_=chttvtp_i_156,606.0,156
The Return of Sherlock Holmes,157,1986,1988.0,11,0,8.7,https://www.imdb.com/pt/title/tt0090509/?ref_=chttvtp_i_157,2.771,157
Pose,158,2018,2021.0,26,16,8.6,https://www.imdb.com/pt/title/tt7562112/?ref_=chttvtp_i_158,1.798,158
Pousando no Amor,159,2019,2020.0,19,14,8.7,https://www.imdb.com/pt/title/tt10850932/?ref_=chttvtp_i_159,831.0,159
Chaves,160,1972,1983.0,58,0,8.7,https://www.imdb.com/pt/title/tt0229889/?ref_=chttvtp_i_160,2.947,160
Pinguim,161,2024,,48,16,8.6,https://www.imdb.com/pt/title/tt15435876/?ref_=chttvtp_i_161,140.0,161
Yes Minister,162,1980,1984.0,22,0,8.6,https://www.imdb.com/pt/title/tt0080306/?ref_=chttvtp_i_162,3.962,162
Gomorra: La serie,163,2014,2021.0,58,16,8.6,https://www.imdb.com/pt/title/tt2049116/?ref_=chttvtp_i_163,1.113,163
The Jinx: A Vida e as Mortes de Robert Durst,164,2015,2024.0,12,16,8.6,https://www.imdb.com/pt/title/tt4299972/?ref_=chttvtp_i_164,957.0,164
Le Bureau des Légendes,165,2015,2020.0,50,0,8.7,https://www.imdb.com/pt/title/tt4063800/?ref_=chttvtp_i_165,861.0,165
Blackadder the Third,166,1987,,76,0,8.6,https://www.imdb.com/pt/title/tt0092324/?ref_=chttvtp_i_166,2.895,166
Grandes Momentos da Segunda Guerra em Cores,167,2019,,10,16,8.6,https://www.imdb.com/pt/title/tt9103932/?ref_=chttvtp_i_167,3.533,167
Planeta dos Abutres,168,2023,,12,16,8.6,https://www.imdb.com/pt/title/tt21056886/?ref_=chttvtp_i_168,973.0,168
Anne com um E,169,2017,2019.0,27,12,8.6,https://www.imdb.com/pt/title/tt5421602/?ref_=chttvtp_i_169,708.0,169
The Newsroom,170,2012,2014.0,25,14,8.6,https://www.imdb.com/pt/title/tt1870479/?ref_=chttvtp_i_170,463.0,170
Homicídio,171,1993,1999.0,22,14,8.7,https://www.imdb.com/pt/title/tt0106028/?ref_=chttvtp_i_171,635.0,171
Boardwalk Empire: O Império do Contrabando,172,2010,2014.0,56,16,8.6,https://www.imdb.com/pt/title/tt0979432/?ref_=chttvtp_i_172,265.0,172
Critical Role,173,2015,,79,14,9.0,https://www.imdb.com/pt/title/tt4834232/?ref_=chttvtp_i_173,2.222,173
Archer,174,2009,2023.0,43,12,8.6,https://www.imdb.com/pt/title/tt1486217/?ref_=chttvtp_i_174,560.0,174
Dopesick,175,2021,,18,16,8.6,https://www.imdb.com/pt/title/tt9174558/?ref_=chttvtp_i_175,681.0,175
Andor,176,2022,2025.0,24,14,8.6,https://www.imdb.com/pt/title/tt9253284/?ref_=chttvtp_i_176,70.0,176
Yeh Meri Family,177,2018,,22,14,8.9,https://www.imdb.com/pt/title/tt8595766/?ref_=chttvtp_i_177,3.931,177
Mystery Science Theater 3000,178,1988,1999.0,99,14,8.6,https://www.imdb.com/pt/title/tt0094517/?ref_=chttvtp_i_178,2.615,178
Justificado,179,2010,2015.0,78,16,8.6,https://www.imdb.com/pt/title/tt1489428/?ref_=chttvtp_i_179,240.0,179
O Show do Pernalonga,180,1960,1975.0,78,0,8.6,https://www.imdb.com/pt/title/tt0053488/?ref_=chttvtp_i_180,3.824,180
Homem de Família,181,2019,,20,16,8.7,https://www.imdb.com/pt/title/tt9544034/?ref_=chttvtp_i_181,1.089,181
QI,182,2003,,58,0,8.6,https://www.imdb.com/pt/title/tt0380136/?ref_=chttvtp_i_182,2.854,182
Justiça Jovem,183,2010,2022.0,98,10,8.6,https://www.imdb.com/pt/title/tt1641384/?ref_=chttvtp_i_183,1.177,183
Demon Slayer: Kimetsu no Yaiba,184,2019,2024.0,63,12,8.6,https://www.imdb.com/pt/title/tt9335498/?ref_=chttvtp_i_184,45.0,184
O Que Fazemos nas Sombras,185,2019,2024.0,61,14,8.6,https://www.imdb.com/pt/title/tt7908628/?ref_=chttvtp_i_185,356.0,185
Battlestar Galactica,186,2003,,32,14,8.5,https://www.imdb.com/pt/title/tt0314979/?ref_=chttvtp_i_186,2.159,186
Dragon Ball,187,1986,1989.0,53,12,8.5,https://www.imdb.com/pt/title/tt0088509/?ref_=chttvtp_i_187,1.756,187
Liga da Justiça,188,2001,2004.0,52,0,8.5,https://www.imdb.com/pt/title/tt0275137/?ref_=chttvtp_i_188,1.606,188
A Maldição da Residência Hill,189,2018,,10,16,8.5,https://www.imdb.com/pt/title/tt6763664/?ref_=chttvtp_i_189,222.0,189
Endeavour,190,2012,2023.0,36,12,8.6,https://www.imdb.com/pt/title/tt2701582/?ref_=chttvtp_i_190,610.0,190
Dragon Ball,191,1995,2003.0,53,0,8.5,https://www.imdb.com/pt/title/tt0280249/?ref_=chttvtp_i_191,1.43,191
"Yes, Prime Minister",192,1986,1987.0,16,0,8.6,https://www.imdb.com/pt/title/tt0086831/?ref_=chttvtp_i_192,4.075,192
Os Irmãos Aventura,193,2003,2018.0,86,14,8.6,https://www.imdb.com/pt/title/tt0417373/?ref_=chttvtp_i_193,1.64,193
Samurai Champloo,194,2004,2005.0,26,0,8.5,https://www.imdb.com/pt/title/tt0423731/?ref_=chttvtp_i_194,1.475,194
Flight of the Conchords,195,2007,2009.0,22,16,8.5,https://www.imdb.com/pt/title/tt0863046/?ref_=chttvtp_i_195,1.915,195
O Ensaio,196,2022,,12,16,8.5,https://www.imdb.com/pt/title/tt10802170/?ref_=chttvtp_i_196,727.0,196
Sol Negro,197,2017,2020.0,20,16,8.8,https://www.imdb.com/pt/title/tt6108262/?ref_=chttvtp_i_197,2.729,197
The IT Crowd,198,2006,2013.0,25,14,8.5,https://www.imdb.com/pt/title/tt0487831/?ref_=chttvtp_i_198,790.0,198
